Claves_de_serie,Descripción_de_la_serie
1535,"F. Total de la población en edad de trabajar (18 a 70 años)"
1540,"Población de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico"
1541,"Población total"
1543,"Mujeres en edad fértil (15 a 49 años) unidas que deciden (individual o conjuntamente) sobre cuándo tener relaciones sexuales, el uso de métodos anticonceptivos y sobre el cuidado de se salud sexual y reproductiva (Mujeres)"
1544,"Mujeres en edad fértil (15 a 49 años) unidas"
1546,"Último hijo nacido vivo en el periodo de 2013 a 2018, tenido a la edad de 15 a 29 años, que no fue planificado"
1547,"Último hijo nacido vivo en el periodo de 2013 a 2018, tenido a la edad de 15 a 29 años"
1549,"Número de personas muertas debido a intoxicaciones involuntarias"
1550,"Población a mitad de año"
1553,"Superficie marina calculada cubierta por áreas naturales protegidas federales en el año t"
1554,"Superficie cubierta por la Zona Económica Exclusiva en el año t"
1556,"Superficie marina calculada cubierta por áreas naturales protegidas federales en el año t"
1557,"Superficie cubierta por la Zona Económica Exclusiva en el año t"
1559,"Total de hijos(as) nacidos(as) vivos(as) en las niñas y adolescentes (de 10 a 14 años)"
1560,"Niñas y adolescentes (de 10 a 14 años) a mitad de año"
1567,"Población de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales"
1568,"Población total"
1570,"Número de muertes atribuidas al agua insalubre, al saneamiento insuficiente y a la falta de higiene (exposición a servicios inseguros de agua, saneamiento e higiene para todos (WASH))"
1571,"Población a mitad de año"
1581,"Número de muertes por suicidio"
1582,"Población a mitad de año"
1585,"Mujeres entre 20 y 24 años que ya estaban casadas o en una unión estable antes de los 15 años (o antes de los 18 años)"
1586,"Total de mujeres entre 20 y 24 años de edad"
1588,"Mujeres entre 20 y 24 años que ya estaban casadas o en una unión estable antes de los 15 años (o antes de los 18 años)"
1589,"Total de mujeres entre 20 y 24 años de edad"
1591,"Población en situación de pobreza"
1592,"Población de referencia"
1604,"Jóvenes de 15 a 24 años que no estudian, no tienen empleo, no recibe capacitación, no usa su tiempo en actividades domésticas no remuneradas"
1605,"Total de jóvenes de 15 a 24 años"
1606,"Valor agregado bruto del sector de la cultura en términos reales del año t"
1608,"Número de personal sanitario"
1611,"Población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad"
1612,"Población total"
1614,"Valor agregado de las actividades económicas de MHT"
1615,"Valor agregado total de la manufactura"
1616,"Valor agregado bruto del sector de la cultura en términos reales del año t-1"
1618,"PIB a precios constantes base 2015 expresado en Paridad de Poder de Compra (dólares)"
1619,"Emisiones totales (Kg de CO<sub>2</sub>e)"
1620,"Emisiones de dióxido de carbono total por residuos (Kg de CO<sub>2</sub>e)"
1621,"Emisiones de dióxido de carbono total por agricultura, silvicultura y otros usos de la tierra (Kg de CO<sub>2</sub>e)"
1622,"Emisiones de dióxido de carbono total por procesos industriales y uso de productos (Kg de CO<sub>2</sub>e)"
1623,"Emisiones de dióxido de carbono total por energía (Kg de CO<sub>2</sub>e)"
1626,"Tiempo de traslado al trabajo (minutos por semana)"
1627,"Total de población de 15 años y más que se traslada al trabajo"
1628,"Población de niños y niñas menores de 5 años con talla baja para la edad (<-2Z)"
1629,"Total de niños y niñas menores de 5 años"
1631,"Tiempo de traslado al trabajo (minutos por semana)"
1632,"Total de población de 15 años y más que se traslada al trabajo"
1634,"Total de niños y niñas menores de 5 años con emaciación"
1635,"Total de niños y niñas menores de 5 años"
1637,"Total de niños y niñas menores de 5 años con sobrepeso u obesidad"
1638,"Total de niños y niñas menores de 5 años"
1640,"Total de niños y niñas menores de 5 años con malnutrición (emaciación más sobrepeso u obesidad)"
1641,"Total de niños y niñas menores de 5 años"
1643,"Población de 65 años o más que recibe una jubilación o pensión igual o mayor al valor promedio de la línea de pobreza por ingresos"
1644,"Población total de 65 años o más que recibe una  jubilación o pensión"
1646,"Mujeres en edad fértil (15 a 49 años) sexualmente activas que desean espaciar o limitar el nacimiento de próximos hijos(as), pero no hacen uso de método anticonceptivo alguno"
1647,"Mujeres en edad fértil (15 a 49 años) sexualmente activas"
1652,"Producción de electricidad de fuentes limpias y renovables"
1653,"Producción nacional total de energia"
1656,"Emisiones GEI sector Energía"
1657,"Emisiones GEI sector Procesos industriales y uso de productos"
1658,"Emisiones GEI sector Residuos"
1661,"Tiempo de traslado al trabajo (minutos por semana)"
1662,"Total de población de 15 años y más que se traslada al trabajo"
1663,"Población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral"
1664,"Población total ocupada con hijos(as) de seis años o menos"
1666,"Tiempo de traslado al trabajo (minutos por semana)"
1667,"Total de población de 15 años y más que se traslada al trabajo"
1677,"Ingreso laboral total de la población de 12 años o más según sexo por entidad federativa"
1679,"Población de 12 años o más ocupada según sexo por entidad federativa"
1681,"Población con carencia por acceso a la alimentación nutritiva y de calidad"
1682,"Población de referencia"
1687,"Mujeres"
1688,"Hombres"
1699,"Población de 65 años o más que recibe una jubilación o pensión igual o mayor al valor promedio de la línea de pobreza por ingresos"
1700,"Población total de 65 años o más que recibe una  jubilación o pensión"
1702,"Población derechohabiente a las instituciones de seguridad social y de la población afiliada al Seguro Popular que se atiende en las instituciones públicas de salud y que no gastó en servicios médicos."
1703,"Población con acceso a servicios de salud en instituciones públicas"
1705,"Población con carencia por acceso a la alimentación nutritiva y de calidad"
1706,"Población de referencia"
1708,"Población que presenta carencia por acceso a la seguridad social"
1709,"Población de referencia"
1711,"Población cuyo tiempo de traslado a un hospital es menor a dos horas"
1712,"Población total"
1714,"Población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral"
1715,"Población total ocupada con hijos(as) de seis años o menos"
1717,"Población con inseguridad alimentaria moderada o severa"
1718,"Población de referencia"
1720,"Población con inseguridad alimentaria moderada o severa"
1721,"Población de referencia"
1723,"Población en situación de pobreza"
1724,"Población de referencia"
1726,"Población en situación de pobreza"
1727,"Población de referencia"
1729,"Población que presenta carencia por acceso a la seguridad social"
1730,"Población de referencia"
1732,"Población que presenta carencia por acceso a los servicios de salud"
1733,"Población de referencia"
1735,"Población cuyo tiempo de traslado a un hospital es menor a dos horas"
1736,"Población total"
1738,"Población de 65 años o más que recibe una jubilación o pensión igual o mayor al valor promedio de la línea de pobreza por ingresos"
1739,"Población total de 65 años o más que recibe una  jubilación o pensión"
1741,"Población que presenta carencia por acceso a los servicios de salud"
1742,"Población de referencia"
1747,"Población con inseguridad alimentaria moderada o severa"
1748,"Población de referencia"
1760,"Población de 14 a 16 años que finalizó la educación primaria"
1761,"Población de 14 a 16 años"
1762,"Indice de finalización secundaria"
1763,"Población de 17 a 19 años que finalizó la educación secundaria"
1764,"Población de 17 a 19 años"
1765,"Indice de finalización preparatoria (Media superior)"
1766,"Población de 20 a 22 años que finalizó la educación preparatoria (Media superior)"
1767,"Población de 20 a 22 años"
1773,"PIB PPC por persona ocupada"
1774,"PIB anual Base 2018 a precios corrientes según el valor de la Paridad del Poder de Compra"
1775,"Población ocupada de 15 años y más"
1776,"Población de 18 a 70 años que tiene una cuenta en el banco u otra institución financiera"
1777,"Población total"
1779,"Población de 18 a 70 años que tiene una cuenta en el banco u otra institución financiera"
1780,"Población total"
1783,"Ocupados informales no agropecuarios"
1784,"Población ocupada no agropecuaria"
1786,"Población desocupada"
1787,"Población económicamente activa"
1789,"Población de 18 a 70 años que tiene una cuenta en el banco u otra institución financiera"
1790,"Población total"
1792,"Población de 18 a 70 años que tiene una cuenta en el banco u otra institución financiera"
1793,"Población total"
1795,"Desembolso internacional de la asistencia oficial para el desarrollo relacionados con el agua y el saneamiento, millones de pesos del año de cálculo"
1796,"Inversión que se destinan a las acciones de agua potable, drenaje y sanemiento en México, millones de pesos del año de cálculo"
1798,"Población ocupada en la industria manufacturera"
1799,"Población ocupada de 15 años y más"
1801,"Ocupados informales no agropecuarios"
1802,"Población ocupada no agropecuaria"
1804,"PIB PPC por persona ocupada"
1805,"PIB anual Base 2018 a precios corrientes según el valor de la Paridad del Poder de Compra"
1806,"Población ocupada de 15 años y más"
1808,"Población desocupada"
1809,"Población económicamente activa"
1811,"Población ocupada en la industria manufacturera"
1812,"Población ocupada de 15 años y más"
1814,"Total de la población con nuevas infecciones por VIH"
1815,"Total de la población no infectada"
1816,"Población a mitad de año"
1818,"Población de 14 a 16 años que finalizó la educación primaria"
1819,"Población de 14 a 16 años"
1820,"Población de 17 a 19 años que finalizó la educación secundaria"
1821,"Población de 17 a 19 años"
1822,"Población de 20 a 22 años que finalizó la educación preparatoria (Media superior)"
1823,"Población de 20 a 22 años"
1825,"Área total destinada a espacios abiertos en km<sup>2</sup>"
1826,"Área total urbana en km<sup>2</sup>"
1828,"Número de niños de 24 a 59 meses cuyo desarrollo es adecuado en cuanto a la salud, el aprendizaje y el bienestar psicosocial"
1829,"Número total de niños de 24 a 59 meses"
1831,"Total de jóvenes del grupo de edad"
1832,"Total de jóvenes ocupados del grupo de edad"
1833,"Total de jóvenes no ocupados del grupo de edad, pero que reciben educación o capacitación"
1834,"Promedio del ingreso corriente 2016 a precios de 2018, y 2018 a precios de 2020"
1835,"Promedio del ingreso corriente 2018 y de 2020"
1840,"Total de jóvenes del grupo de edad"
1841,"Total de jóvenes ocupados del grupo de edad"
1842,"Total de jóvenes no ocupados del grupo de edad pero que reciben educación o capacitación"
1844,"Mujeres en los cabildos municipales"
1845,"Total de mujeres y hombres en los cabildos municipales"
1847,"Mujeres en los congresos estatales"
1848,"Total de legisladoras y legisladores en los congresos estatales"
1850,"Mujeres presidentas municipales"
1851,"Total de presidentas y presidentes municipales"
1854,"Superficie de KBA dentro de ANP en zonas de montaña"
1855,"Superficie de AICA dentro de ANP en zonas de montaña"
1856,"Superficie de GAP Terrestre dentro de ANP en zonas de montaña"
1857,"Sumatoria de Superficie de Instrumentos (KBA, AICAS, GAP Terrestre) dentro de ANP en zonas de montaña"
1858,"Superficie nacional de sitios importantes para la biodiversidad de montaña: KBA,  AICA y GAP Terrestre"
1859,"Cantidad de ANP en zonas de montaña"
1862,"Número de Sitios RAMSAR"
1864,"Total de jóvenes del grupo de edad"
1865,"Total de jóvenes ocupados del grupo de edad"
1866,"Total de jóvenes no ocupados del grupo de edad, pero que reciben educación o capacitación"
1869,"Suma del ingreso promedio de los deciles I y II"
1870,"Suma del ingreso promedio de los deciles IX y X"
1871,"Población a mitad de año, proyecciones 2016-2050"
1872,"Capacidad Instalada acumulada"
1874,"INPC (2018=100, agosto de cada año)"
1875,"Deflactor(base 2020=100)"
1876,"Canasta mensual (1.25 dlls)"
1877,"PIB a precios corrientes"
1878,"Consumo privado a precios corrientes"
1879,"Propensión marginal a consumir (ConsPr/PIB)"
1880,"Población total"
1881,"Población en pobreza"
1883,"Número de Mujeres con al menos una hija o hijo nacida(o) viva(o)"
1884,"Total de mujeres de 15 a 19 años"
1892,"Superficie total de ANP en zonas de montaña"
1894,"Personas investigadoras con reconocimiento en el Sistema Nacional de Investigadoras e Investigadores"
1895,"Población total"
1900,"Número de especies del grupo taxonómico en alguna categoría de riesgo"
1901,"Número de especies conocidas del grupo taxonómico en México"
1903,"Población que tiene habilidades para el uso de la PC"
1904,"Población estimada al cierre del año"
1907,"Extracción doméstica de materiales"
1908,"Importaciones directas"
1909,"Exportaciones directas"
1911,"Consumo doméstico de materiales en términos absolutos"
1914,"Consumo doméstico de materiales en términos absolutos"
1917,"Valor agregado censal bruto de las unidades económicas manufactureras micro y pequeñas"
1918,"Total de Valor agregado censal bruto"
1920,"Número de unidades económicas manufactureras micro y pequeñas con financiamiento"
1921,"Total de unidades económicas micro y pequeñas de manufacturas"
1923,"Cantidad promedio diaria de RSU recolectados de manera selectiva"
1924,"Cantidad promedio diaria de RSU recolectados totales"
1926,"Desastres geofísicos"
1927,"Desastres relacionados con el cambio climático"
1929,"Población de 14 a 16 años que finalizó la educación primaria"
1930,"Población de 14 a 16 años"
1932,"Población de 17 a 19 años que finalizó la educación secundaria"
1933,"Población de 17 a 19 años"
1935,"Población de 20 a 22 años que finalizó la educación preparatoria (Media superior)"
1936,"Población de 20 a 22 años"
1938,"Tiempo de trabajo remunerado"
1939,"Tiempo de trabajo no remunerado"
1940,"Horas de trabajo remunerado y no remunerado combinados"
1941,"Horas de trabajo remunerado"
1942,"Horas de trabajo no remunerado"
1943,"Total de personas que declararon haber realizado algún tipo de trabajo (remunerado y/o no remunerado)"
1945,"Tiempo de trabajo remunerado"
1946,"Tiempo de trabajo no remunerado"
1947,"Horas de trabajo remunerado y no remunerado combinados"
1948,"Horas de trabajo remunerado"
1949,"Horas de trabajo no remunerado"
1950,"Total de personas que declararon haber realizado algún tipo de trabajo (remunerado y/o no remunerado)"
1952,"Tiempo de trabajo remunerado"
1953,"Tiempo de trabajo no remunerado"
1954,"Horas de trabajo remunerado y no remunerado combinados"
1955,"Horas de trabajo remunerado"
1956,"Horas de trabajo no remunerado"
1957,"Total de personas que declararon haber realizado algún tipo de trabajo (remunerado y/o no remunerado)"
1959,"Tiempo de trabajo remunerado"
1960,"Tiempo de trabajo no remunerado"
1961,"Horas de trabajo remunerado y no remunerado combinados"
1962,"Horas de trabajo remunerado"
1963,"Horas de trabajo no remunerado"
1964,"Total de personas que declararon haber realizado algún tipo de trabajo (remunerado y/o no remunerado)"
1965,"Población abarcada por una red móvil"
1966,"Población estimada al cierre del año"
1968,"Extracción doméstica de materiales"
1969,"Importaciones directas"
1970,"Exportaciones directas"
1972,"Consumo doméstico de materiales en términos absolutos"
1973,"Población total"
1975,"Consumo doméstico de materiales en términos absolutos"
1976,"PIB a precios de mercado"
1993,"Superficie terrestre calculada cubierta por áreas naturales protegidas federales en el año t"
1994,"Superficie terrestre nacional en el año t"
1996,"Superficie terrestre calculada cubierta por áreas naturales protegidas federales en el año t"
1997,"Superficie terrestre nacional en el año t"
1999,"Total de mujeres con anemia"
2000,"Total de mujeres"
2002,"Total de mujeres con anemia"
2003,"Total de mujeres"
2008,"Población de 18 años y más que declaro haberse sentido personalmente discriminada por algún motivo de discriminicación"
2009,"Población total de 18 años y más"
2010,"PIB a precios de mercado. Pesos a precios de 2018."
2011,"Población de 18 años y más"
2012,"Población de 18 años y más"
2013,"Población alfabeta"
2014,"Población de 15 años y más"
2016,"Población con agua entubada dentro de la vivienda con un servicio diario"
2017,"Población con agua entubada fuera de la vivienda, pero dentro del predio con un servicio diario"
2018,"Población que se abastece con captación de agua de lluvia"
2019,"Población que se abastece con llave pública o hidrante"
2020,"Población total residente en los hogares"
2022,"Población con drenaje conectado a la red pública y excusado propio"
2023,"Población con drenaje conectado a una fosa séptica y excusado propio"
2024,"Población total residente en los hogares"
2025,"Total de niños y niñas menores de 5 años con algún tipo de desnutrición (emaciación, insuficiencia ponderal o retraso en el crecimiento)"
2026,"Total de niños y niñas menores de 5 años"
2028,"Porcentaje de la población con sobrepeso y obesidad, desglosado por sexo y edad"
2029,"Población"
2031,"Porcentaje de la población con sobrepeso y obesidad"
2032,"Población"
2033,"Volumen de agua usada (millones de metros cúbicos)"
2034,"Valor agregado bruto (millones de pesos)"
2037,"Población de 15 a 24 años  alfabeta"
2038,"Población de 15 a 24 años"
2040,"Sumatoria de la concentración promedio anual estimada de PM<sub>2.5</sub> para cada Área Geoestadística Básica (AGEB) urbana i multiplicada por la población de cada AGEB urbana i, en la zona metropolitana j"
2041,"Población total de las AGEBS urbanas i, en la zona metropolitana j"
2043,"Sumatoria de la concentración promedio anual estimada de PM<sub>10</sub> para cada Área Geoestadística Básica (AGEB) urbana i multiplicada por la población de cada AGEB urbana i, en la zona metropolitana j"
2044,"Población total de las AGEBS urbanas i, en la zona metropolitana j"
2046,"Excedencia Acumulada de Partículas PM<sub>2.5</sub> (µg/m<sup>3</sup>) a lo largo de un año calendario, por estación de monitoreo, con respecto al valor crítico de concentración de 25 µg/m<sup>3</sup> de PM<sub>2.5</sub> recomendado por la OMS para protección de la salud de la población"
2047,"Número de estaciones de monitoreo"
2048,"Total de ANP que cumplen con el criterio (incrementan, mantienen o presentan pérdidas menores a 5% de su superficie con cobertura vegetal)"
2049,"Número de ANP decretadas federales consideradas en el análisis"
2051,"Excedencia Acumulada de Ozono (ppm) a lo largo de un año calendario, por estación de monitoreo, con respecto al valor crítico de concentración de 0.051 ppm de O<sub>3</sub> recomendado por la OMS para protección de la salud de la población"
2052,"Número de estaciones de monitoreo"
2054,"Población alfabeta de 15 a 24 años"
2055,"Población de 15 a 24 años"
2057,"Población alfabeta"
2058,"Población en el grupo de edad"
2059,"Superficie cosechada"
2060,"Volumen de producción obtenida"
2061,"Producción"
2062,"Importaciones"
2063,"Exportaciones"
2064,"Superficie sembrada fertilizada"
2065,"Emisión de dióxido de carbono por la quema de combustibles fósiles"
2066,"PIB anual en millones de dólares de EU a paridad de poder de compra corriente"
2074,"Población con agua entubada dentro de la vivienda con un servicio diario"
2075,"Población con agua entubada fuera de la vivienda pero dentro del predio con un servicio diario"
2076,"Población que se abastece con captación de agua de lluvia"
2077,"Población que se abastece con llave pública o hidrante"
2078,"Población total residente en los hogares"
2080,"Población con agua entubada dentro de la vivienda con un servicio diario"
2081,"Población con agua entubada fuera de la vivienda pero dentro del predio con un servicio diario"
2091,"Suma de valor ICA en el año t"
2092,"Total de ICA"
2093,"Población que se abastece con llave pública o hidrante"
2095,"Población que se abastece con captación de agua de lluvia"
2096,"Población total residente en los hogares"
2099,"Número de niñas y niños nacidos vivos que murieron durante los primeros 28 días de vida en el periodo t"
2100,"Total de niñas y niños nacidos vivos en el periodo t"
2101,"Población con agua entubada dentro de la vivienda con un servicio diario"
2102,"Población con agua entubada fuera de la vivienda pero dentro del predio con un servicio diario"
2103,"Población que se abastece con llave pública o hidrante"
2104,"Población que se abastece con captación de agua de lluvia"
2105,"Población total residente en los hogares"
2107,"Población con agua entubada dentro de la vivienda con un servicio diario"
2108,"Población con agua entubada fuera de la vivienda pero dentro del predio con un servicio diario"
2109,"Población que se abastece con llave pública o hidrante"
2110,"Población que se abastece con captación de agua de lluvia"
2111,"Población total residente en los hogares"
2112,"Valor total de los proyectos autorizados para recibir el Estímulo Fiscal a la Investigación y Desarrollo de Tecnología (EFIDT) en el año t"
2113,"Valor total del Estímulo Fiscal a la Investigación y Desarrollo de Tecnología (EFIDT) autorizado en el año t"
2115,"Población con agua entubada dentro de la vivienda con un servicio diario"
2116,"Población con agua entubada fuera de la vivienda pero dentro del predio con un servicio diario"
2117,"Población que se abastece con captación de agua de lluvia"
2118,"Población que se abastece con llave pública o hidrante"
2119,"Población total residente en los hogares"
2121,"Población con drenaje conectado a la red pública y excusado propio"
2122,"Población con drenaje conectado a una fosa séptica y excusado propio"
2123,"Población total residente en los hogares"
2125,"Población con drenaje conectado a la red pública y excusado propio"
2126,"Población con drenaje conectado a una fosa séptica y excusado propio"
2127,"Población total residente en los hogares"
2129,"Total de niños menores de 5 años con Hepatitis B notificados mediante el sistema de vigilancia convencional"
2130,"Total de niños y niñas  menores de 5 años"
2132,"Estimación de personas de 15 a 49 años con VIH en el año"
2133,"Población media de 15 a 49 años en el año"
2135,"Número de defunciones por VIH/SIDA"
2136,"Población a mitad de año"
2141,"Casos de enfermedades trasmitidas por vectores"
2142,"Población a mitad de año"
2143,"Población total"
2145,"Índice global de productividad laboral de la economía con base a la horas trabajadas"
2147,"Casos de enfermedades trasmitidas por vectores"
2148,"Población a mitad de año"
2150,"Población que presenta carencia por acceso a la seguridad social"
2151,"Población de referencia"
2153,"Población que presenta carencia por acceso a los servicios de salud"
2154,"Población de referencia"
2157,"Número de personas muertas por contaminación de los hogares y del aire ambiente"
2158,"Número total de personas"
2160,"Casos de tuberculosis"
2161,"Población total a mitad de año"
2163,"Casos de tuberculosis"
2164,"Población a mitad de año"
2166,"Casos de tuberculosis"
2167,"Población total a mitad de año"
2169,"Población que vive en hogares con acceso a los servicios básicos"
2170,"Población total"
2171,"Ingreso promedio per cápita de las personas"
2173,"Ingreso promedio per cápita de las personas"
2175,"Población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico"
2176,"Población total"
2178,"Población con inseguridad alimentaria moderada o severa"
2179,"Población total"
2181,"Población con inseguridad alimentaria moderada o severa, por desglose geográfico"
2182,"Población total"
2186,"Población de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico"
2187,"Población total"
2189,"Población sin carencia por acceso a la seguridad social, por desglose geográfico"
2190,"Población total"
2192,"Población sin carencia por acceso a la seguridad social, por desglose geográfico"
2193,"Población total"
2195,"Población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico (Entidad federativa)"
2196,"Población total"
2198,"Tasa de participación en el aprendizaje organizado - Mujeres"
2199,"Tasa de participación en el aprendizaje organizado - Hombres"
2201,"Tasa de participación de los jóvenes y adultos en la enseñanza y formación académica y no académica - Mujeres"
2202,"Tasa de participación de los jóvenes y adultos en la enseñanza y formación académica y no académica - Hombres"
2204,"Tasa bruta matriculación de educación superior – Mujeres"
2205,"Tasa bruta matriculación de educación superior - Hombres"
2207,"Porcentaje de población que alcanza por lo menos un nivel fijo de competencia funcional en alfabetización - Mujeres"
2208,"Porcentaje de población que alcanza por lo menos un nivel fijo de competencia funcional en alfabetización - Hombres"
2210,"Proporción del profesorado que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo exigida para impartir enseñanza - Mujeres"
2211,"Proporción del profesorado que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo exigida para impartir enseñanza - Hombres"
2213,"Porcentaje de alumnos que asisten a escuelas de organización escolar multigrado – Mujeres"
2214,"Porcentaje de alumnos que asisten a escuelas de organización escolar multigrado - Hombres"
2216,"Subvenciones de asisitencia oficial que se centran en la reducción de la pobreza"
2217,"Total del ingreso nacional bruto del país"
2225,"Total de Gobiernos locales que adoptan y aplican estrategias de reducción del riesgo de desastres"
2226,"Total de Gobiernos locales"
2228,"Defunciones de personas de 30 a 69 años por enfermedades no transmisibles"
2229,"Población de 30 a 69 años a mitad de periodo"
2230,"Adultos (de 15 años o más) con una cuenta en un banco u otra institución financiera con un proveedor de servicios monetarios en México"
2231,"Total de adultos (de 15 años y más) en México"
2233,"Mujeres ocupadas como funcionarias y directivas"
2234,"Población ocupada como funcionaria o directiva"
