TIPO_DATO,ENTIDAD,IV22,IV22_MEN_1_AÑO,IV22_1_A_2_AÑOS,IV22_MAS_2_A_3_AÑOS,IV22_MAY_3_AÑOS,IV22_2_2,IV22_2_3,IV22_2_4,IV22_2_5,IV22_2_6,IV22_2_7,IV22_2_1,IV22_3CNT,IV22_3_1PS,IV23_1,IV23_2,IV23_3,IV23_NO_ESPECIFICADA,IV26,IV26_1_1,IV26_1_2,IV26_1_2_1,IV26_1_3,IV26_1_5,IV26_1_5_1,IV26_1_5_2,IV26_1_4,ESTATUS
Estimación,Michoacán de Ocampo,1652265.00,250866.00,0.00,0.00,390647.00,102922.00,0.00,30744.00,194112.00,0.00,302168.00,64016.00,1284173.00,6.00,0.00,626465.00,0.00,50281.00, , , , , , , , ,30744.00,Cifras Definitivas
Límite de confianza inferior,Michoacán de Ocampo,586089.00,239144.00,0.00,0.00,372081.00,92118.00,0.00,27704.00,171830.00,0.00,277271.00,51429.00,1131673.00,5.78,0.00,591628.00,0.00,42761.00, , , , , , , , ,27704.00,Cifras Definitivas
Límite de confianza superior,Michoacán de Ocampo,2718441.00,262589.00,0.00,0.00,409212.00,113726.00,0.00,33785.00,216394.00,0.00,327065.00,68013.00,1436672.00,6.22,0.00,661302.00,0.00,57800.00, , , , , , , , ,33785.00,Cifras Definitivas
Coeficiente de variación,Michoacán de Ocampo,32.92,2.39,0.00,0.00,2.42,5.36,0.00,5.05,5.86,0.00,4.20,7.08,6.06,1.88,0.00,2.84,0.00,7.63, , , , , , , , ,5.05,Cifras Definitivas
Estimación,Morelos,129962.00,33062.00,29352.00,28816.00,38732.00,17633.00,40418.00,4345.00,34356.00,3372.00,22478.00,7360.00,99205.00,6.59,20476.00,77207.00,27644.00,4635.00, , , , , , , , ,4345.00,Cifras Definitivas
Límite de confianza inferior,Morelos,125898.00,30860.00,26624.00,25840.00,35894.00,15451.00,40418.00,3494.00,30402.00,1935.00,19443.00,4801.00,83705.00,6.25,16470.00,71261.00,23057.00,3456.00, , , , , , , , ,3494.00,Cifras Definitivas
Límite de confianza superior,Morelos,134026.00,35263.00,32079.00,31793.00,41571.00,19815.00,44568.00,5196.00,38310.00,4809.00,25513.00,7419.00,114704.00,6.92,24482.00,83153.00,32230.00,5815.00, , , , , , , , ,5196.00,Cifras Definitivas
Coeficiente de variación,Morelos,1.60,3.40,4.74,5.27,3.74,6.31,5.24,9.99,5.87,21.74,6.89,10.93,7.97,2.59,9.98,3.93,8.00,12.98, , , , , , , , ,9.99,Cifras Definitivas
Estimación,Nayarit,512403.00,122136.00,98446.00,80926.00,210895.00,73488.00,120997.00,16489.00,214362.00,13037.00,54025.00,20005.00,180757.00,6.71,84716.00,372240.00,48740.00,6707.00, , , , , , , , ,16489.00,Cifras Definitivas
Límite de confianza inferior,Nayarit,500974.00,117609.00,93025.00,76476.00,204166.00,68121.00,120997.00,15196.00,204243.00,9432.00,47485.00,16609.00,146590.00,6.50,74002.00,357919.00,38577.00,5165.00, , , , , , , , ,15196.00,Cifras Definitivas
Límite de confianza superior,Nayarit,523832.00,126663.00,103868.00,85375.00,217625.00,78854.00,130414.00,17783.00,224481.00,16642.00,60566.00,22328.00,214924.00,6.93,95430.00,386560.00,58903.00,8250.00, , , , , , , , ,17783.00,Cifras Definitivas
Coeficiente de variación,Nayarit,1.14,1.90,2.81,2.81,1.63,3.73,3.97,4.00,2.41,14.11,6.18,7.49,9.64,1.66,6.45,1.96,11.00,11.73, , , , , , , , ,4.00,Cifras Definitivas
Estimación,Nuevo León,729488.00,0.00,81800.00,0.00,320114.00,46854.00,0.00,24451.00,383568.00,0.00,8498.00,19583.00,66070.00,5.47,0.00,284715.00,0.00,6401.00, , , , , , , , ,24451.00,Cifras Definitivas
Límite de confianza inferior,Nuevo León,572471.00,0.00,69884.00,0.00,304896.00,40294.00,0.00,21784.00,364977.00,0.00,4725.00,14436.00,38509.00,4.38,0.00,262053.00,0.00,4048.00, , , , , , , , ,21784.00,Cifras Definitivas
Límite de confianza superior,Nuevo León,886504.00,0.00,93716.00,0.00,335332.00,53414.00,0.00,27118.00,402158.00,0.00,12271.00,22200.00,93631.00,6.55,0.00,307377.00,0.00,8752.00, , , , , , , , ,27118.00,Cifras Definitivas
Coeficiente de variación,Nuevo León,10.98,0.00,7.43,0.00,2.43,7.14,0.00,5.56,2.47,0.00,22.65,10.81,21.28,10.15,0.00,4.06,0.00,18.75, , , , , , , , ,5.56,Cifras Definitivas
Estimación,Oaxaca,1037169.00,250079.00,191350.00,203531.00,392209.00,177369.00,256467.00,39823.00,271696.00,24028.00,183420.00,84366.00,576401.00,5.72,165283.00,659076.00,148635.00,64175.00, , , , , , , , ,39823.00,Cifras Definitivas
Límite de confianza inferior,Oaxaca,995753.00,236389.00,175744.00,187948.00,365319.00,163337.00,256467.00,35858.00,250408.00,17367.00,159109.00,67648.00,519369.00,5.42,141174.00,612744.00,123333.00,55417.00, , , , , , , , ,35858.00,Cifras Definitivas
Límite de confianza superior,Oaxaca,1078585.00,263769.00,206957.00,219114.00,419098.00,191401.00,277972.00,43788.00,292984.00,30690.00,207731.00,86559.00,633434.00,6.02,189392.00,705409.00,173937.00,72931.00, , , , , , , , ,43788.00,Cifras Definitivas
Coeficiente de variación,Oaxaca,2.04,2.80,4.16,3.91,3.50,4.04,4.28,5.08,4.00,14.15,6.76,6.26,5.05,2.69,7.44,3.59,9.00,6.96, , , , , , , , ,5.08,Cifras Definitivas
Estimación,Puebla,400105.00,106150.00,96579.00,65081.00,132295.00,55992.00,104128.00,8350.00,54409.00,50214.00,64022.00,62990.00,1150903.00,4.91,94601.00,134641.00,117461.00,53402.00,1142481.00,286589.00,744554.00,0.00,0.00,0.00,2.00,8.00,3741.00,Cifras Definitivas
Límite de confianza inferior,Puebla,386566.00,97970.00,87518.00,58113.00,122401.00,49659.00,104128.00,6465.00,47064.00,41597.00,54346.00,51475.00,1000066.00,4.72,81020.00,119529.00,105169.00,47927.00,724714.00,190201.00,459412.00,0.00,0.00,0.00,2.00,7.00,2588.00,Cifras Definitivas
Límite de confianza superior,Puebla,413644.00,114331.00,105639.00,72048.00,142189.00,62324.00,116288.00,10236.00,61754.00,58831.00,73698.00,62956.00,1301740.00,5.10,108182.00,149753.00,129753.00,58877.00,1560247.00,382977.00,1029695.00,0.00,0.00,0.00,2.00,8.00,4893.00,Cifras Definitivas
Coeficiente de variación,Puebla,1.73,3.94,4.79,5.46,3.82,5.77,5.96,11.52,6.89,8.76,7.71,5.12,6.69,1.97,7.32,5.73,5.00,5.23,18.66,17.16,19.54,0.00,0.00,0.00,3.20,3.42,15.72,Cifras Definitivas
Estimación,Querétaro,229515.00,51842.00,64358.00,47646.00,65669.00,20335.00,71087.00,2942.00,45443.00,51196.00,23694.00,14818.00,1050629.00,6.67,38404.00,74614.00,103725.00,12772.00, , , , , , , , ,2942.00,Cifras Definitivas
Límite de confianza inferior,Querétaro,215727.00,46281.00,56931.00,42208,58690.00,16029.00,71087.00,2108.00,39459.00,41251.00,18726.00,11123.00,870894.00,6.08,31703.00,65531.00,89900.00,10443.00, , , , , , , , ,2108.00,Cifras Definitivas
Límite de confianza superior,Querétaro,243304.00,57402.00,71784.00,53085.00,72649.00,24640.00,80959.00,3776.00,51427.00,61142.00,28663.00,15803.00,1230365.00,7.27,45104.00,83697.00,117549.00,15104.00, , , , , , , , ,3776.00,Cifras Definitivas
Coeficiente de variación,Querétaro,3.07,5.48,5.89,5.82,5.42,10.8,7.09,14.47,6.72,9.91,10.7,8.87,8.73,4.55,8.90,6.21,7.00,9.31, , , , , , , , ,14.47,Cifras Definitivas
Estimación,Quintana Roo,76844.00,19143.00,13190.00,14106.00,30405.00,14752.00,20650.00,2915.00,30159.00,1531.00,4884.00,1953.00,14828.00,5.23,6704.00,56163.00,12530.00,1447.00, , , , , , , , ,2915.00,Cifras Definitivas
Límite de confianza inferior,Quintana Roo,74292.00,17561.00,12227.00,12911.00,28845.00,13522.00,20650.00,2653.00,28347.00,1133.00,3842.00,1153.00,11882.00,4.94,5242.00,52926.00,10694.00,1000.00, , , , , , , , ,2653.00,Cifras Definitivas
Límite de confianza superior,Quintana Roo,79397.00,20724.00,14153.00,15302.00,31965.00,15981.00,22666.00,3178.00,31972.00,1929.00,5927.00,2062.00,17774.00,5.53,8167.00,59399.00,14366.00,1895.00, , , , , , , , ,3178.00,Cifras Definitivas
Coeficiente de variación,Quintana Roo,1.69,4.22,3.72,4.32,2.62,4.25,4.98,4.59,3.07,13.25,10.89,14.43,10.14,2.87,11.13,2.94,7.00,15.78, , , , , , , , ,4.59,Cifras Definitivas
Estimación,San Luis Potosí,935145.00,161700.00,0.00,0.00,309127.00,82780.00,0.00,24526.00,305131.00,0.00,65031.00,56543.00,283995.00,5.42,0.00,281229.00,0.00,40172.00, , , , , , , , ,24526.00,Cifras Definitivas
Límite de confianza inferior,San Luis Potosí,607651.00,153586.00,0.00,0.00,292594.00,74801.00,0.00,22414.00,285138.00,0.00,56098.00,47118.00,224111.00,5.01,0.00,260643.00,0.00,35228.00, , , , , , , , ,22414.00,Cifras Definitivas
Límite de confianza superior,San Luis Potosí,1262638.00,169814.00,0.00,0.00,325659.00,90759.00,0.00,26637.00,325124.00,0.00,73964.00,58440.00,343880.00,5.82,0.00,301815.00,0.00,45114.00, , , , , , , , ,26637.00,Cifras Definitivas
Coeficiente de variación,San Luis Potosí,17.87,2.57,0.00,0.00,2.73,4.92,0.00,4.39,3.34,0.00,7.01,5.47,10.76,3.80,0.00,3.73,0.00,6.28, , , , , , , , ,4.39,Cifras Definitivas
Estimación,Sinaloa,1125242.00,227462.00,272233.00,281258.00,344289.00,103110.00,529014.00,27967.00,191895.00,40228.00,216648.00,16380.00,631712.00,5.60,0.00,612060.00,0.00,7773.00, , , , , , , , ,27967.00,Cifras Definitivas
Límite de confianza inferior,Sinaloa,944869.00,215006.00,168741.00,187568.00,328012.00,90269.00,529014.00,23365.00,174052.00,31824.00,198429.00,10064.00,573517.00,5.38,0.00,574781.00,0.00,4819.00, , , , , , , , ,23365.00,Cifras Definitivas
Límite de confianza superior,Sinaloa,1305614.00,239918.00,375724.00,374948.00,360565.00,115951.00,709804.00,32570.00,209738.00,48632.00,234867.00,18027.00,689907.00,5.82,0.00,649339.00,0.00,10726.00, , , , , , , , ,32570.00,Cifras Definitivas
Coeficiente de variación,Sinaloa,8.18,2.80,19.40,17,2.41,6.35,17.44,8.40,4.74,10.66,4.29,14.46,4.70,2.02,0.00,3.11,0.00,19.39, , , , , , , , ,8.40,Cifras Definitivas
Estimación,Sonora,1721583.00,422977.00,316441.00,271347.00,710818.00,170771.00,516638.00,65142.00,676162.00,42303.00,197851.00,52716.00,750524.00,5.74,573802.00,754574.00,388793.00,4414.00, , , , , , , , ,65142.00,Cifras Definitivas
Límite de confianza inferior,Sonora,1580627.00,377432.00,230540.00,206323.00,673300.00,153841.00,516638.00,59432.00,626884.00,29682.00,166438.00,26739.00,584665.00,5.44,509638.00,647926.00,300119.00,2309.00, , , , , , , , ,59432.00,Cifras Definitivas
Límite de confianza superior,Sonora,1862539.00,468521.00,402342.00,336371.00,748337.00,187701.00,653186.00,70852.00,725439.00,54924.00,229265.00,44182.00,916384.00,6.04,637967.00,861222.00,477468.00,6517.00, , , , , , , , ,70852.00,Cifras Definitivas
Coeficiente de variación,Sonora,4.18,5.50,13.85,12.23,2.69,5.06,13.48,4.47,3.72,15.22,8.10,12.55,11.28,2.67,5.71,7.21,12.00,24.33, , , , , , , , ,4.47,Cifras Definitivas
Estimación,Tabasco,1044705.00,250734.00,231573.00,222374.00,340024.00,132394.00,307169.00,39065.00,444346.00,25671.00,54700.00,41360.00,233603.00,4.39,122077.00,723645.00,187724.00,11259.00, , , , , , , , ,39065.00,Cifras Definitivas
Límite de confianza inferior,Tabasco,1013008.00,238534.00,217014.00,206195.00,317856.00,118242.00,307169.00,34465.00,417147.00,18367.00,43834.00,24320.00,177242.00,4.09,104898.00,687750.00,156566.00,8047.00, , , , , , , , ,34465.00,Cifras Definitivas
Límite de confianza superior,Tabasco,1076402.00,262935.00,246132.00,238553.00,362190.00,146546.00,329052.00,43666.00,471544.00,32974.00,65565.00,35895.00,289964.00,4.68,139256.00,759541.00,218882.00,14469.00, , , , , , , , ,43666.00,Cifras Definitivas
Coeficiente de variación,Tabasco,1.55,2.49,3.21,3.71,3.33,5.45,3.63,6.01,3.12,14.52,10.13,9.81,12.31,3.39,7.18,2.53,8.00,14.55, , , , , , , , ,6.01,Cifras Definitivas
Estimación,Tamaulipas,1204743.00,247402.00,290522.00,175923.00,490896.00,96696.00,312634.00,40931.00,680802.00,0.00,0.00,21021.00,145983.00,5.28,156148.00,518324.00,519527.00,10744.00, , , , , , , , ,40931.00,Cifras Definitivas
Límite de confianza inferior,Tamaulipas,1056444.00,227619.00,157317.00,142706.00,458486.00,83113.00,312634.00,36574.00,597533.00,0.00,0.00,12716.00,87470.00,4.47,129491.00,460280.00,373708.00,7890.00, , , , , , , , ,36574.00,Cifras Definitivas
Límite de confianza superior,Tamaulipas,1353042.00,267186.00,423728.00,209140.00,523303.00,110280.00,390898.00,45287.00,764070.00,0.00,0.00,20798.00,204496.00,6.10,182805.00,576368.00,665346.00,13596.00, , , , , , , , ,45287.00,Cifras Definitivas
Coeficiente de variación,Tamaulipas,6.28,4.08,23.39,9.63,3.37,7.17,12.77,5.43,6.24,0.00,0.00,12.30,20.45,7.87,8.71,5.71,14.00,13.55, , , , , , , , ,5.43,Cifras Definitivas
Estimación,Tlaxcala,77308.00,20140.00,19466.00,18001.00,19701.00,10531.00,10762.00,966.00,3698.00,14605.00,18921.00,17825.00,273420.00,4.74,24048.00,22709.00,13768.00,16783.00, , , , , , , , ,966.00,Cifras Definitivas
Límite de confianza inferior,Tlaxcala,75001.00,18895.00,18053.00,16509.00,18087.00,9485.00,10762.00,760.00,2871.00,12976.00,17065.00,16510.00,250210.00,4.66,21672.00,20405.00,12094.00,15677.00, , , , , , , , ,760.00,Cifras Definitivas
Límite de confianza superior,Tlaxcala,79616.00,21384.00,20878.00,19492.00,21317.00,11577.00,12203.00,1171.00,4525.00,16233.00,20777.00,18729.00,296630.00,4.82,26424.00,25013.00,15443.00,17890.00, , , , , , , , ,1171.00,Cifras Definitivas
Coeficiente de variación,Tlaxcala,1.52,3.16,3.70,4.23,4.18,5.07,6.84,10.88,11.41,5.69,5.00,3.21,4.33,0.89,5.04,5.18,6.00,3.36, , , , , , , , ,10.88,Cifras Definitivas
Estimación,Veracruz de Ignacio de la Llave,2799873.00,682415.00,541782.00,524571.00,1051105.00,293818.00,859477.00,91040.00,553277.00,97451.00,775111.00,129699.00,2349985.00,4.71,663321.00,1794624.00,275016.00,66912.00, , , , , , , , ,91040.00,Cifras Definitivas
Límite de confianza inferior,Veracruz de Ignacio de la Llave,2645035.00,653103.00,499326.00,420228.00,1003418.00,254020.00,859477.00,83378.00,506494.00,76091.00,723893.00,111401.00,2137734.00,4.61,604367.00,1635123.00,219481.00,54862.00, , , , , , , , ,83378.00,Cifras Definitivas
Límite de confianza superior,Veracruz de Ignacio de la Llave,2954711.00,711726.00,584239.00,628915.00,1098792.00,333616.00,1007653.00,98702.00,600060.00,118810.00,826329.00,142735.00,2562236.00,4.81,722275.00,1954124.00,330550.00,78963.00, , , , , , , , ,98702.00,Cifras Definitivas
Coeficiente de variación,Veracruz de Ignacio de la Llave,2.82,2.20,4.00,10.15,2.31,6.91,8.80,4.29,4.31,11.18,3.37,6.29,4.61,1.06,4.53,4.53,10.00,9.19, , , , , , , , ,4.29,Cifras Definitivas
Estimación,Yucatán,456946.00,123335.00,86682.00,49023.00,197906.00,55144.00,155882.00,13581.00,208097.00,0.00,0.00,20598.00,9240.00,4.83,30235.00,347352.00,69420.00,9939.00, , , , , , , , ,13581.00,Cifras Definitivas
Límite de confianza inferior,Yucatán,432247.00,112401.00,79380.00,41893.00,184754.00,45272.00,155882.00,12509.00,194974.00,0.00,0.00,16131.00,3818.00,4.42,25482.00,324074.00,55871.00,8470.00, , , , , , , , ,12509.00,Cifras Definitivas
Límite de confianza superior,Yucatán,481644.00,134268.00,93984.00,56153.00,211058.00,65017.00,169095.00,14653.00,221220.00,0.00,0.00,22831.00,14662.00,5.23,34989.00,370630.00,82969.00,11408.00, , , , , , , , ,14653.00,Cifras Definitivas
Coeficiente de variación,Yucatán,2.76,4.53,4.30,7.42,3.39,9.13,4.32,4.03,3.22,0.00,0.00,8.77,29.94,4.28,8.02,3.42,10.00,7.54, , , , , , , , ,4.03,Cifras Definitivas
Estimación,Zacatecas,930475.00,213947.00,189994.00,169552.00,356982.00,66790.00,319701.00,23531.00,294254.00,100518.00,87843.00,37838.00,1187253.00,6.23,285861.00,403929.00,211596.00,29089.00, , , , , , , , ,23531.00,Cifras Definitivas
Límite de confianza inferior,Zacatecas,899047.00,202825.00,165165.00,157203.00,338423.00,56780.00,319701.00,19502.00,271559.00,81419.00,75309.00,31076.00,889239.00,6.01,253453.00,374344.00,182373.00,25667.00, , , , , , , , ,19502.00,Cifras Definitivas
Límite de confianza superior,Zacatecas,961903.00,225069.00,214822.00,181902.00,375541.00,76799.00,351524.00,27560.00,316949.00,119617.00,100378.00,39181.00,1485267.00,6.46,318269.00,433513.00,240819.00,32512.00, , , , , , , , ,27560.00,Cifras Definitivas
Coeficiente de variación,Zacatecas,1.72,2.66,6.67,3.72,2.65,7.65,5.08,8.74,3.94,9.69,7.28,5.89,12.81,1.85,5.78,3.74,7.00,6.00, , , , , , , , ,8.74,Cifras Definitivas
